wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Charlie_Chaplin,a Jewish barber in the ghetto,Q882,http://www.wikidata.org/entity/Q109116
/wiki/Paulette_Goddard,Hannah,Q95050,http://www.wikidata.org/entity/Q109116
/wiki/Maurice_Moscovich,Mr. Jaeckel,Q3301179,http://www.wikidata.org/entity/Q109116
/wiki/Emma_Dunn,Mrs. Jaeckel,Q458513,http://www.wikidata.org/entity/Q109116
/wiki/Bernard_Gorcey,Mr. Mann,Q2897984,http://www.wikidata.org/entity/Q109116
/wiki/Paul_Weigel,Mr. Agar,Q946153,http://www.wikidata.org/entity/Q109116
/wiki/Chester_Conklin,Barber's customer,Q1070698,http://www.wikidata.org/entity/Q109116
/wiki/Charlie_Chaplin,Adenoid Hynkel,Q882,http://www.wikidata.org/entity/Q109116
/wiki/Jack_Oakie,Benzino Napaloni,Q545846,http://www.wikidata.org/entity/Q109116
/wiki/Reginald_Gardiner,Commander Schultz,Q2448340,http://www.wikidata.org/entity/Q109116
/wiki/Henry_Daniell,Garbitsch,Q1369906,http://www.wikidata.org/entity/Q109116
/wiki/Billy_Gilbert,Herring,Q186798,http://www.wikidata.org/entity/Q109116
/wiki/Grace_Hayle,Madame Napaloni,Q3112993,http://www.wikidata.org/entity/Q109116
/wiki/Carter_DeHaven,Bacterian ambassador Spook.,Q4353707,http://www.wikidata.org/entity/Q109116
/wiki/Tiny_Sandford,a comrade soldier in 1918,Q1342905,http://www.wikidata.org/entity/Q109116
/wiki/Joe_Bordeaux,ghetto extra,Q3179992,http://www.wikidata.org/entity/Q109116
/wiki/Hank_Mann,storm trooper stealing fruit,Q3126801,http://www.wikidata.org/entity/Q109116
