wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Rick_Malambri,Luke Katcher,Q558412,Q81037
/wiki/Adam_G._Sevani,"Robert ""Moose"" Alexander III",Q349471,Q81037
/wiki/Sharni_Vinson,Natalie,Q271065,Q81037
/wiki/Alyson_Stoner,Camille,Q229263,Q81037
/wiki/Stephen_%22tWitch%22_Boss,Jason Hardlerson,Q21284625,Q81037
"/wiki/Chadd_Smith"" class=""mw-redirect",Vladd,,Q81037
/wiki/Lombard_Twins,Martin Santiago,Q85781938,Q81037
/wiki/Lombard_Twins,Marcos Santiago,Q85781938,Q81037
/wiki/Cloud_(dancer),Kid Darkness,Q5135628,Q81037
/wiki/Carolina_Ravassa,Kristen,Q28976364,Q81037
/wiki/Harry_Shum_Jr.,Cable,Q348649,Q81037
