wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Walter_Chiari,Don Raimundo Esteban,Q977975,http://www.wikidata.org/entity/Q226810
/wiki/Delia_Scala,Gloria / Estrella / Dolores,Q526911,http://www.wikidata.org/entity/Q226810
/wiki/Vittorio_Gassman,Don Antonio / Juan,Q55452,http://www.wikidata.org/entity/Q226810
/wiki/Carlo_Ninchi,Don Esteban Contrero,Q2939231,http://www.wikidata.org/entity/Q226810
/wiki/Anna_Arena,La Locandiera,Q2653114,http://www.wikidata.org/entity/Q226810
/wiki/Juan_de_Landa,César / Pedro,Q15713611,http://www.wikidata.org/entity/Q226810
/wiki/Giovanni_Dolfini,Don Alonzo,Q15117271,http://www.wikidata.org/entity/Q226810
/wiki/Claudio_Ermelli,Maestro di Musica,Q3680025,http://www.wikidata.org/entity/Q226810
/wiki/Giacomo_Furia,Panchito,Q121456,http://www.wikidata.org/entity/Q226810
/wiki/Sophia_Loren,Conchita (as Sofia Scicolone),Q43252,http://www.wikidata.org/entity/Q226810
/wiki/Michele_Malaspina,Perez,Q3856680,http://www.wikidata.org/entity/Q226810
/wiki/Luigi_Pavese,Don Garcia Fernandez,Q556325,http://www.wikidata.org/entity/Q226810
/wiki/Mich%C3%A8le_Philippe,Maria / Marta,Q2908337,http://www.wikidata.org/entity/Q226810
/wiki/Gualtiero_Tumiati,Don Cesar Alcazan,Q3778147,http://www.wikidata.org/entity/Q226810
/wiki/Nietta_Zocchi,Dona Hermosa Alcazan,Q3876704,http://www.wikidata.org/entity/Q226810
