wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Jeanne_Tripplehorn,Gwen Moss,Q120366,http://www.wikidata.org/entity/Q232106
/wiki/Yvonne_Zima,Gwen (age 7),Q286033,http://www.wikidata.org/entity/Q232106
/wiki/Madeline_Zima,Gwen (age 12),Q230296,http://www.wikidata.org/entity/Q232106
/wiki/Dylan_McDermott,Nick Dawkan,Q53120,http://www.wikidata.org/entity/Q232106
/wiki/Sarah_Jessica_Parker,Francesca Lanfield,Q170530,http://www.wikidata.org/entity/Q232106
/wiki/Jennifer_Aniston,Debbie,Q32522,http://www.wikidata.org/entity/Q232106
/wiki/Amanda_Fuller,Debbie (age 13),Q453911,http://www.wikidata.org/entity/Q232106
/wiki/Craig_Bierko,Jon Haas,Q738952,http://www.wikidata.org/entity/Q232106
/wiki/Christine_Ebersole,Beebee Moss,Q437438,http://www.wikidata.org/entity/Q232106
/wiki/Janel_Moloney,Beebee (age 25),Q114447,http://www.wikidata.org/entity/Q232106
/wiki/Michael_Tucker_(actor),Saul Moss,Q709336,http://www.wikidata.org/entity/Q232106
/wiki/Karen_Allen,Betty Dawkan,Q229137,http://www.wikidata.org/entity/Q232106
/wiki/Kale_Browne,Vince Dawkan,Q1185774,http://www.wikidata.org/entity/Q232106
/wiki/Alice_Drummond,Harriet,Q143369,http://www.wikidata.org/entity/Q232106
/wiki/Ken_Olin,Gregory,Q1198176,http://www.wikidata.org/entity/Q232106
/wiki/Patrick_Malahide,Timo,Q377072,http://www.wikidata.org/entity/Q232106
/wiki/Nina_Foch,Sophia Monroe,Q235632,http://www.wikidata.org/entity/Q232106
/wiki/Reg_Rogers,Bob,Q15727761,http://www.wikidata.org/entity/Q232106
/wiki/Susan_Walters,Robin,Q457063,http://www.wikidata.org/entity/Q232106
/wiki/Kasi_Lemmons,Angenelle,Q459933,http://www.wikidata.org/entity/Q232106
/wiki/Steve_Antin,Kevin,Q2623963,http://www.wikidata.org/entity/Q232106
/wiki/Richard_Fancy,Murdstone,Q9069104,http://www.wikidata.org/entity/Q232106
/wiki/Ian_Gomez,Scott,Q575317,http://www.wikidata.org/entity/Q232106
/wiki/Matt_Roth_(actor),Todd,Q3299555,http://www.wikidata.org/entity/Q232106
/wiki/Karen_Mayo-Chandler,Awful Truth Woman,Q6369867,http://www.wikidata.org/entity/Q232106
/wiki/Anthony_Guidera,Maitre D',Q4772639,http://www.wikidata.org/entity/Q232106
/wiki/John_Hawkes_(actor),Gawayne,Q459384,http://www.wikidata.org/entity/Q232106
/wiki/Jack_Kruschen,Mr. Katz,Q1374376,http://www.wikidata.org/entity/Q232106
/wiki/Danielle_Keaton,Chelsea,Q5219395,http://www.wikidata.org/entity/Q232106
/wiki/Julio_Oscar_Mechoso,Mover,Q1712385,http://www.wikidata.org/entity/Q232106
/wiki/Annabelle_Gurwitch,Woman in Bathroom,Q4767721,http://www.wikidata.org/entity/Q232106
/wiki/Dave_Mallow,Newscaster Voice (voice) (uncredited),Q5229264,http://www.wikidata.org/entity/Q232106
